ip, comment
192.168.0.0/24,       localnetwork
176.31.23.179/32,     mrmovie
78.46.190.27/32,      mrmovie
104.28.0.13/32,       2tinymvz.net
116.202.194.110/32,   dl1.tinydl.club
88.198.12.89/32,      dl7.tinydl.club
88.99.88.164/32,      dl8.tinydl.club
46.224.2.32/29,       arvan
185.20.160.248/29,    arvan
5.160.139.200/29,     arvan
185.112.35.144/28,    arvan
2.146.0.0/28,         arvan
92.114.16.80/28,      arvan
79.175.138.128/29,    arvan
185.143.232.0/22,     arvan
185.49.87.120/29,     arvan
89.187.178.96/29,     arvan
89.187.175.136/29,    arvan
185.152.67.56/29,     arvan
185.246.211.64/27,    arvan
89.187.169.88/29,     arvan
195.181.173.128/29,   arvan
130.185.120.0/23,     arvan
188.229.116.16/29,    arvan
83.123.255.40/31,     arvan
83.121.255.40/31,     arvan
164.138.128.68/31,    arvan
198.13.38.112/28,     arvan
45.76.176.64/28,      arvan
149.28.160.0/28,      arvan
94.182.182.28/30,     arvan
185.17.115.176/30,    arvan
139.180.154.16/29,    arvan
45.77.129.64/29,      arvan
178.216.248.224/29,   arvan
178.22.121.224/29,    arvan
195.181.174.96/29,    arvan
103.205.143.112/29,   arvan
103.250.185.144/29,   arvan